職缺內容,公司名稱,內容,地址,薪資,網址
python工程師,鈦度科技有限公司,"1. 開發網站(如Django framework) 
2. 系統串連，如以SQLAlchemy連結Relational Database (SQL Server)
3. 需熟悉OOP及MVC觀念及運用。 
4.  開發Restful API。 
5. 熟悉版本控制及testing技術。",台北市內湖區,"年薪750,000~800,000元",//www.104.com.tw/job/6xglu?jobsource=jolist_c_relevance
Python Software Engineer,台灣米高蒲志國際股份有限公司,"•	智慧自動化飲料機器人技術新創公司
•	創業團隊為矽谷高科技公司，如Facebook、卡內基美隆創新產品開發專家、 MIT Sloan MBA 專業經理人以及資深軟體工程師等領域人才

About Our Client
智慧自動化飲料機器人技術，服務全球連鎖餐飲集團以及知名飲料品牌，提供最完整的新鮮飲料調理配套及原物料供應鏈服務

Job Description
1. 開發商家智慧設備後台控制服務邏輯。
2. 開發智慧調理設備雲端系統資料同步串接。
3. 規劃文件化功能規格與系統設計。
4. Linux 應用程式開發經驗，並協助同仁解決問題。

What's on Offer
Attractive benefit",台北市信義區,待遇面議,//www.104.com.tw/job/7c28t?jobsource=jolist_c_relevance
Backend Engineer (PHP/Python),長佳智能股份有限公司,"【工作內容】
1.負責開發與維護網站後端程式(以PHP Laravel、Python Flask為主)
2.資料庫規劃設計(以MySQL、Redis為主)
3.運用IaaS、PaaS開發Web API、維護及文件撰寫
4.開發與維護SaaS
5.",台中市西區,待遇面議,//www.104.com.tw/job/716px?jobsource=jolist_c_relevance
後端工程師(Python),台灣幣蜂數位有限公司,"職務描述
1、用Python架構、設計、實現產品的後端
2、數據驅動，不斷通過產品和技術數據進行改進，並完成快速迭代
3、與QA合作進行測試、改進和問題修復工作

希望您是
1、本科及以上學歷，計算機或相關專業
2、熟悉掌握至少一門編程語言，如",台北市內湖區,"月薪60,000~85,000元",//www.104.com.tw/job/7aecq?jobsource=jolist_c_relevance
Python Flask網站開發工程師(台北),紅門互動股份有限公司,"1. 網站管理/系統開發與維護。
2. 網站資料庫設計與維護。
3. 前端套版應用。
4. 第三方API整合和API開發。
5. 數據整合應用開發

【必要條件】
1. 熟悉 Python(Flask為主)
2. 熟悉",台北市松山區,待遇面議,//www.104.com.tw/job/6xtfl?jobsource=jolist_a_relevance
Big Data Back-End Developer_Python 大數據後端開發工程師,雲端互動股份有限公司," Hadoop 的串接及使用
• 熟悉後端程式開發及相關框架: Python (Django)
• 具備 APIs設計及開發經驗
• 具備Swagger、JWT整合經驗
• 具備基本 OOP 觀念
• 熟悉 Git",台北市大安區,待遇面議,//www.104.com.tw/job/7bsn0?jobsource=jolist_a_relevance
Python 後端工程師,蓋特資訊系統股份有限公司,"Requirements：

1. 數據採集與清洗，內容包含ETL與爬蟲且需要對數據質量管控（準確性、完整性、一致性、有效性）。
2. 系統測試與程式測試，內容包含服務的整個生命週期的測試（需要white box/白箱/白盒測試、數據測試、專項測試輸出、效果評測、web佈署、服務上線後的監控）。
3. 有基本的DB知識，需要能使用RDB與常見的NoSQL DB。
4. 有自動化測試經驗（使用語言不限）。

其中1.和2.至少有其中一項能夠滿足條件。

Nice to have：
* 熟悉分散式工具或架構，如Flume, Scribe, Kafka, Hadoop, Spark。
* 能夠優化DB效能者佳，DB因為種類繁多，可針對幾種說明優化和使用經驗。
* 熟悉標注軟體，因為有可能要協協助自動化標籤。
* 能設計或規劃測試流程和方法，熟悉多樣測試平台或測試工具為佳（例如：QTP, Selenium, Appium, Jmeter, Aion, Applitools, Appvance IQ, Test.ai, Eggplant, Mabl, ReTest, Sauce Labs....）。",台北市中正區,"月薪50,000元以上",//www.104.com.tw/job/6vdrl?jobsource=jolist_a_relevance
Python 資料科學工程師 - 中階,台灣競遊智慧網路有限公司,"1. 需熟悉以下項目

- Python 編程語言。
- 數據結構和演算法。
- 資料分析 (領域資料洞悉、特徵選擇、資料前處理等)。 
- 使用深度學習相關框架。
- 使用 Git 控管程式版本。

2. 工作內容包含但不限於以下項目

-",台北市中山區,"月薪60,000元以上",//www.104.com.tw/job/7bwo5?jobsource=jolist_a_relevance
資訊部Python 工程師,童綜合醫療社團法人童綜合醫院,"熟Python, Flask, Pandas, 基本SQL語法。
對HTML，CSS，Javascript有基本之認識(不一定要非常專精，但與前端工程師溝通時會需要初階的知識)。
具備Linux基本操作能力，與基本Git使用能力。
具備良好",台中市梧棲區,"月薪35,000~80,000元",//www.104.com.tw/job/6upji?jobsource=jolist_a_relevance
Python 後端工程師 (Junior),金冠科技有限公司,"以 Python 負責開發公司後端系統平台，
持續優化產品的效能和質量，需與前端密切整合
系統技術研究與專案推動上線
爬蟲數據資料分析",台北市大安區,"月薪35,000~60,000元",//www.104.com.tw/job/6lw8b?jobsource=jolist_a_relevance
